filename, Celup, Corak, Dayak, Geblek, Gentongan, Ikat, Insang, Kawung, Kraton, Megamendung, Parang, Pring, Renteng, Sedapur, Simbut
24-motif-batik-kawung-berbentuk_jpg.rf.8893742604a4f13592875fe5e5335dd6.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
100_jpg.rf.86b09628fb337fea1fe7027886b968af.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
147-Nanasan_ungu_jpg.rf.889685e8500ead3bcc5dfd208d639d36.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
43_jpg.rf.884d4cd19535e03711506dc2326d76a3.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
158_jpg.rf.889c1a5ab9e487c650f3e3b680fb18e3.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
97_jpg.rf.878cca32128a09f0b6f0b9bb234844b6.jpg, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
55-B-_Pring_sedapur__jpg.rf.86f1c73a1a2948444dfd23d89e602a1b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
23-50ce8829014d8277e0c9c4b044b61e12_jpg.rf.86c1f0857e922622f945453a90c228e0.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
21-motif-batik-betawi_jpg.rf.884934275a46870c891c152dc323f901.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
169_jpg.rf.88cceac9c4fdc7878a90f97bef27250b.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
60-motif-batik-indonesia-batik-pring-sedapur-batik-magetan_jpg.rf.875e1d4069e4ffb4a35d541ce023c087.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
41_jpg.rf.8781786d097a8ae9a6dc07ccd54d224a.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45_jpg.rf.8874cc2885fb58b7f60e3c1de04c978f.jpg, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
112-IMG_9462_jpg.rf.872b053a9e6156b18d15710fab151058.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
128-pngtree-ornament-batik-kawung-javanese-free-png-png-image_7265409_png.rf.886d387aeca2161c4efd3dcdeeb40604.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
150_jpg.rf.88e890ea5911bb182724f907d3afc0f6.jpg, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
94_jpg.rf.869856eedd626d96f19020b99b37ec08.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
129-IMG_5148_jpg.rf.88fef147f773ea7ded302272549a333b.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
153-b9e53df929a669f595434d7751655bff_jpg.rf.8805e8b5760c62c83386c40b60b799f3.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
18-pinterest_hedabatik-files-wordpress-com_jpg.rf.889b3c1788a17d47de8d032ff9e679bf.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
17_jpg.rf.8923d9c8b24de5c6d455e13ca8580b21.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
164_jpg.rf.87fbd50604dab1442d52b435789bda7f.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
120_jpg.rf.88c7440d95a6053f3a668b9698849c52.jpg, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
144-maxresdefault_jpg.rf.88c3ebaaf9152475dbe11f5833a85856.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
66_jpg.rf.890925977e5736671bbaa9de30069d22.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41-9962186604_6591e94735_b_jpg.rf.88bdc034e92f358abf9f5a76c67b4d48.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
118-indonesian-batik-kawung-600nw-1324747430_jpg.rf.87642f310175943237e58b085c340d85.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
